Group_1,Group_2,Group_3,Group_4,Group_5,Group_6,Group_7,Group_8,Group_9
6,4,7,1,8,2,5,9,3
7,5,4,1,9,6,3,8,2
4,3,9,1,6,8,5,7,2
9,2,8,4,7,1,3,5,6
5,9,1,2,7,4,6,8,3
4,7,5,2,1,6,9,3,8
4,7,2,6,8,1,9,3,5
3,1,5,4,6,9,7,8,2
2,3,8,1,9,5,6,7,4
5,6,3,2,4,9,8,7,1
9,4,8,1,5,7,6,4,2
8,5,7,3,6,9,2,4,1
2,3,9,4,1,6,7,8,5
3,8,2,5,4,9,7,6,1
4,8,1,3,9,7,5,6,2
3,8,7,5,6,4,9,2,1
8,6,2,3,5,7,9,4,1
5,2,6,3,9,8,4,7,1
3,8,5,9,6,7,1,4,2
1,3,9,6,8,2,7,4,5
8,7,2,3,6,5,9,4,1
1,3,7,5,8,6,9,2,4
5,3,6,4,7,8,9,1,2
4,3,2,7,8,5,9,1,6
4,2,3,9,1,6,8,7,5
1,2,3,7,6,4,8,5,9
3,4,8,2,6,7,1,5,9
4,3,2,1,7,6,8,9,5
4,5,8,3,7,6,9,2,1
9,4,8,5,1,6,2,7,3
3,4,8,1,6,5,9,2,7
2,9,7,4,8,3,5,6,1
3,1,7,2,5,9,6,8,4
4,1,5,6,7,8,9,3,2
8,9,3,2,6,4,7,1,5
1,4,5,6,9,8,7,2,3
6,4,1,3,9,5,2,8,7
3,2,8,1,4,5,9,6,7
4,6,2,7,8,3,9,1,5
6,2,8,3,4,5,9,7,1
7,2,5,6,9,8,3,4,1
5,7,8,1,9,3,6,4,2
8,5,4,2,7,6,9,3,1
1,6,3,4,8,2,9,5,7
,,,,,,,,
,,,,,,,,
4.522727273,4.545454545,5.25,3.636363636,6.363636364,5.681818182,6.568181818,4.931818182,3.522727273
